# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0001        	smoothSolver	1.000000e+00	9.661990e-08	2	0.000000e+00	0.000000e+00	0	1.000000e+00	2.075430e-07	2	false	smoothSolver	1.000000e+00	3.980820e-07	1	true	smoothSolver	1.000000e+00	7.856200e-07	1	true	DICPCG	1.000000e+00	3.032010e-02	73	true
0.0002        	smoothSolver	8.654880e-01	6.256600e-08	2	3.331330e-01	6.990280e-08	2	2.019410e-01	3.207800e-08	2	false	smoothSolver	2.006780e-01	7.554750e-08	1	true	smoothSolver	1.452110e-01	1.039470e-07	1	true	DICPCG	1.323090e-02	4.029230e-04	73	true
0.0003        	smoothSolver	8.367340e-01	6.039990e-08	2	2.026460e-01	4.086610e-08	2	7.903150e-02	1.240460e-08	2	false	smoothSolver	1.117440e-01	6.370060e-08	1	true	smoothSolver	7.829320e-02	8.352540e-08	1	true	DICPCG	9.031040e-03	4.346870e-04	72	true
0.0004        	smoothSolver	2.315510e-02	4.901650e-06	1	1.879950e-02	5.961640e-06	1	3.340020e-03	1.031730e-06	1	false	smoothSolver	7.756840e-02	5.869820e-08	1	true	smoothSolver	5.359800e-02	7.536580e-08	1	true	DICPCG	7.976980e-02	3.682850e-03	8	true
0.0005        	smoothSolver	2.048700e-02	4.304900e-06	1	1.644290e-02	5.109560e-06	1	2.824570e-03	8.375820e-07	1	false	smoothSolver	5.941040e-02	5.588170e-08	1	true	smoothSolver	4.074850e-02	7.065270e-08	1	true	DICPCG	5.446490e-02	2.689900e-03	13	true
0.0006        	smoothSolver	1.852730e-02	3.885790e-06	1	1.492770e-02	4.581750e-06	1	2.497480e-03	7.119360e-07	1	false	smoothSolver	4.811030e-02	5.372160e-08	1	true	smoothSolver	3.287100e-02	6.738880e-08	1	true	DICPCG	3.744180e-02	1.837860e-03	14	true
0.0007        	smoothSolver	1.710350e-02	3.578290e-06	1	1.390260e-02	4.234950e-06	1	2.286170e-03	6.344140e-07	1	false	smoothSolver	4.042670e-02	5.193950e-08	1	true	smoothSolver	2.754780e-02	6.487150e-08	1	true	DICPCG	2.681760e-02	1.321300e-03	15	true
0.0008        	smoothSolver	1.606030e-02	3.346910e-06	1	1.312540e-02	3.987020e-06	1	2.136120e-03	5.812140e-07	1	false	smoothSolver	3.486360e-02	5.041350e-08	1	true	smoothSolver	2.371010e-02	6.279080e-08	1	true	DICPCG	2.004930e-02	9.836850e-04	18	true
0.0009        	smoothSolver	1.523090e-02	3.163300e-06	1	1.248060e-02	3.788770e-06	1	2.023350e-03	5.436970e-07	1	false	smoothSolver	3.065030e-02	4.906030e-08	1	true	smoothSolver	2.081260e-02	6.098980e-08	1	true	DICPCG	1.561560e-02	7.587420e-04	21	true
0.001         	smoothSolver	1.456880e-02	3.009750e-06	1	1.190420e-02	3.615480e-06	1	1.933290e-03	5.156310e-07	1	false	smoothSolver	2.734900e-02	4.785680e-08	1	true	smoothSolver	1.854750e-02	5.938100e-08	1	true	DICPCG	1.263350e-02	5.889740e-04	22	true
