# Solver information
# Time        	U_solver      	Ux_initial    	Ux_final      	Ux_iters      	Uy_initial    	Uy_final      	Uy_iters      	Uz_initial    	Uz_final      	Uz_iters      	U_converged   	cA_solver     	cA_initial    	cA_final      	cA_iters      	cA_converged  	cB_solver     	cB_initial    	cB_final      	cB_iters      	cB_converged  	p_solver      	p_initial     	p_final       	p_iters       	p_converged   
0.0005        	smoothSolver	1.000000e+00	1.209260e-06	5	0.000000e+00	0.000000e+00	0	1.000000e+00	9.322950e-07	5	false	smoothSolver	1.000000e+00	3.039820e-04	1	true	smoothSolver	1.000000e+00	5.299470e-04	1	true	DICPCG	1.000000e+00	4.744810e-02	132	true
0.001         	smoothSolver	8.836960e-01	5.417430e-06	4	3.372850e-01	2.800690e-06	4	2.513970e-01	1.781700e-06	4	false	smoothSolver	1.930360e-01	5.272440e-05	1	true	smoothSolver	1.951360e-01	9.143100e-05	1	true	DICPCG	1.046840e-02	4.696320e-04	132	true
0.0015        	smoothSolver	7.497570e-01	4.495920e-06	4	1.951530e-01	1.568430e-06	4	1.118840e-01	7.647550e-07	4	false	smoothSolver	1.070740e-01	3.731800e-05	1	true	smoothSolver	1.081440e-01	6.401570e-05	1	true	DICPCG	7.464130e-03	3.710480e-04	116	true
0.002         	smoothSolver	6.916350e-02	6.021740e-06	3	4.693390e-02	6.300130e-06	3	1.229420e-02	1.237160e-06	3	false	smoothSolver	7.416370e-02	2.978520e-05	1	true	smoothSolver	7.481320e-02	5.022370e-05	1	true	DICPCG	2.768470e-02	1.254220e-03	123	true
0.0025        	smoothSolver	5.230040e-02	4.746950e-06	3	3.552690e-02	4.845010e-06	3	1.031240e-02	1.073670e-06	3	false	smoothSolver	5.679920e-02	2.514710e-05	1	true	smoothSolver	5.719740e-02	4.144800e-05	1	true	DICPCG	1.255910e-02	5.371120e-04	122	true
0.003         	smoothSolver	4.221570e-02	3.985960e-06	3	2.978130e-02	4.124390e-06	3	9.064060e-03	9.839310e-07	3	false	smoothSolver	4.606990e-02	2.198560e-05	1	true	smoothSolver	4.630180e-02	3.529830e-05	1	true	DICPCG	8.336410e-03	3.679970e-04	122	true
0.0035        	smoothSolver	3.516880e-02	3.442850e-06	3	2.600900e-02	3.646620e-06	3	8.126740e-03	9.135520e-07	3	false	smoothSolver	3.877560e-02	1.968630e-05	1	true	smoothSolver	3.889510e-02	3.072310e-05	1	true	DICPCG	6.185570e-03	3.064390e-04	122	true
0.004         	smoothSolver	3.063460e-02	3.032470e-06	3	2.330630e-02	3.299890e-06	3	7.364300e-03	8.516630e-07	3	false	smoothSolver	3.346870e-02	1.791620e-05	1	true	smoothSolver	3.353400e-02	2.716910e-05	1	true	DICPCG	4.708880e-03	2.194370e-04	123	true
0.0045        	smoothSolver	2.710390e-02	2.706370e-06	3	2.126300e-02	3.034390e-06	3	6.761160e-03	7.974630e-07	3	false	smoothSolver	2.945960e-02	1.651460e-05	1	true	smoothSolver	2.947340e-02	2.431430e-05	1	true	DICPCG	3.686100e-03	1.730430e-04	124	true
0.005         	smoothSolver	2.423370e-02	2.439140e-06	3	1.961370e-02	2.817300e-06	3	6.254400e-03	7.501570e-07	3	false	smoothSolver	2.633020e-02	1.537250e-05	1	true	smoothSolver	2.629120e-02	2.195990e-05	1	true	DICPCG	3.015830e-03	1.431530e-04	125	true
0.0055        	smoothSolver	2.186770e-02	2.219100e-06	3	1.821860e-02	2.632330e-06	3	5.814100e-03	7.084100e-07	3	false	smoothSolver	2.380590e-02	1.440940e-05	1	true	smoothSolver	2.373020e-02	1.997700e-05	1	true	DICPCG	2.543150e-03	1.197320e-04	126	true
0.006         	smoothSolver	1.992220e-02	2.034220e-06	3	1.700960e-02	2.471580e-06	3	5.423430e-03	6.710660e-07	3	false	smoothSolver	2.172450e-02	1.358040e-05	1	true	smoothSolver	2.162530e-02	1.827860e-05	1	true	DICPCG	2.221740e-03	1.000570e-04	127	true
0.0065        	smoothSolver	1.824400e-02	1.874800e-06	3	1.598780e-02	2.331740e-06	3	5.076470e-03	6.377020e-07	3	false	smoothSolver	1.997870e-02	1.285490e-05	1	true	smoothSolver	1.986360e-02	1.680220e-05	1	true	DICPCG	1.978060e-03	9.360100e-05	127	true
0.007         	smoothSolver	1.679390e-02	1.736510e-06	3	1.510100e-02	2.211180e-06	3	4.769260e-03	6.076760e-07	3	false	smoothSolver	1.850180e-02	1.221730e-05	1	true	smoothSolver	1.836720e-02	1.550350e-05	1	true	DICPCG	1.783710e-03	8.795450e-05	127	true
0.0075        	smoothSolver	1.552600e-02	1.615800e-06	3	1.430890e-02	2.107540e-06	3	4.498420e-03	5.803880e-07	3	false	smoothSolver	1.723700e-02	1.165070e-05	1	true	smoothSolver	1.708170e-02	1.435090e-05	1	true	DICPCG	1.673340e-03	8.178130e-05	127	true
