# Time        	cpuTime       	clockTime     	cpu/step      	clock/step    
0.0005        	2.630000e+00	3.000000e+00	2.630000e+00	3.000000e+00
0.001         	4.480000e+00	5.000000e+00	1.850000e+00	2.000000e+00
0.0015        	6.400000e+00	7.000000e+00	1.920000e+00	2.000000e+00
0.002         	8.650000e+00	9.000000e+00	2.250000e+00	2.000000e+00
0.0025        	1.081000e+01	1.100000e+01	2.160000e+00	2.000000e+00
0.003         	1.292000e+01	1.300000e+01	2.110000e+00	2.000000e+00
0.0035        	1.507000e+01	1.500000e+01	2.150000e+00	2.000000e+00
0.004         	1.687000e+01	1.700000e+01	1.800000e+00	2.000000e+00
0.0045        	1.862000e+01	1.900000e+01	1.750000e+00	2.000000e+00
0.005         	2.035000e+01	2.100000e+01	1.730000e+00	2.000000e+00
0.0055        	2.206000e+01	2.200000e+01	1.710000e+00	1.000000e+00
0.006         	2.380000e+01	2.400000e+01	1.740000e+00	2.000000e+00
0.0065        	2.556000e+01	2.600000e+01	1.760000e+00	2.000000e+00
0.007         	2.726000e+01	2.800000e+01	1.700000e+00	2.000000e+00
0.0075        	2.893000e+01	2.900000e+01	1.670000e+00	1.000000e+00
0.008         	3.062000e+01	3.100000e+01	1.690000e+00	2.000000e+00
0.0085        	3.230000e+01	3.300000e+01	1.680000e+00	2.000000e+00
0.009         	3.394000e+01	3.400000e+01	1.640000e+00	1.000000e+00
0.0095        	3.564000e+01	3.600000e+01	1.700000e+00	2.000000e+00
0.01          	3.823000e+01	3.800000e+01	2.590000e+00	2.000000e+00
0.0105        	4.001000e+01	4.000000e+01	1.780000e+00	2.000000e+00
0.011         	4.168000e+01	4.200000e+01	1.670000e+00	2.000000e+00
0.0115        	4.333000e+01	4.400000e+01	1.650000e+00	2.000000e+00
0.012         	4.493000e+01	4.500000e+01	1.600000e+00	1.000000e+00
0.0125        	4.658000e+01	4.700000e+01	1.650000e+00	2.000000e+00
0.013         	4.818000e+01	4.800000e+01	1.600000e+00	1.000000e+00
0.0135        	4.978000e+01	5.000000e+01	1.600000e+00	2.000000e+00
0.014         	5.146000e+01	5.200000e+01	1.680000e+00	2.000000e+00
0.0145        	5.313000e+01	5.300000e+01	1.670000e+00	1.000000e+00
0.015         	5.479000e+01	5.500000e+01	1.660000e+00	2.000000e+00
0.0155        	5.643000e+01	5.700000e+01	1.640000e+00	2.000000e+00
0.016         	5.810000e+01	5.800000e+01	1.670000e+00	1.000000e+00
0.0165        	5.976000e+01	6.000000e+01	1.660000e+00	2.000000e+00
0.017         	6.142000e+01	6.200000e+01	1.660000e+00	2.000000e+00
0.0175        	6.307000e+01	6.300000e+01	1.650000e+00	1.000000e+00
0.018         	6.472000e+01	6.500000e+01	1.650000e+00	2.000000e+00
0.0185        	6.640000e+01	6.700000e+01	1.680000e+00	2.000000e+00
0.019         	6.805000e+01	6.800000e+01	1.650000e+00	1.000000e+00
0.0195        	6.969000e+01	7.000000e+01	1.640000e+00	2.000000e+00
0.02          	7.225000e+01	7.300000e+01	2.560000e+00	3.000000e+00
0.0205        	7.393000e+01	7.400000e+01	1.680000e+00	1.000000e+00
0.021         	7.555000e+01	7.600000e+01	1.620000e+00	2.000000e+00
0.0215        	7.714000e+01	7.700000e+01	1.590000e+00	1.000000e+00
0.022         	7.875000e+01	7.900000e+01	1.610000e+00	2.000000e+00
0.0225        	8.036000e+01	8.100000e+01	1.610000e+00	2.000000e+00
0.023         	8.199000e+01	8.200000e+01	1.630000e+00	1.000000e+00
0.0235        	8.360000e+01	8.400000e+01	1.610000e+00	2.000000e+00
