# Time        	cpuTime       	clockTime     	cpu/step      	clock/step    
0.0001        	2.480000e+00	3.000000e+00	2.480000e+00	3.000000e+00
0.0002        	4.280000e+00	4.000000e+00	1.800000e+00	1.000000e+00
0.0003        	6.360000e+00	7.000000e+00	2.080000e+00	3.000000e+00
0.0004        	8.410000e+00	9.000000e+00	2.050000e+00	2.000000e+00
0.0005        	1.050000e+01	1.100000e+01	2.090000e+00	2.000000e+00
0.0006        	1.296000e+01	1.300000e+01	2.460000e+00	2.000000e+00
0.0007        	1.530000e+01	1.500000e+01	2.340000e+00	2.000000e+00
0.0008        	1.761000e+01	1.800000e+01	2.310000e+00	3.000000e+00
0.0009        	1.994000e+01	2.000000e+01	2.330000e+00	2.000000e+00
0.001         	2.194000e+01	2.200000e+01	2.000000e+00	2.000000e+00
0.0011        	2.388000e+01	2.400000e+01	1.940000e+00	2.000000e+00
0.0012        	2.585000e+01	2.600000e+01	1.970000e+00	2.000000e+00
0.0013        	2.783000e+01	2.800000e+01	1.980000e+00	2.000000e+00
0.0014        	2.986000e+01	3.000000e+01	2.030000e+00	2.000000e+00
0.0015        	3.161000e+01	3.200000e+01	1.750000e+00	2.000000e+00
0.0016        	3.350000e+01	3.400000e+01	1.890000e+00	2.000000e+00
0.0017        	3.526000e+01	3.500000e+01	1.760000e+00	1.000000e+00
0.0018        	3.680000e+01	3.700000e+01	1.540000e+00	2.000000e+00
0.0019        	3.850000e+01	3.900000e+01	1.700000e+00	2.000000e+00
0.002         	4.039000e+01	4.100000e+01	1.890000e+00	2.000000e+00
0.0021        	4.233000e+01	4.200000e+01	1.940000e+00	1.000000e+00
0.0022        	4.389000e+01	4.400000e+01	1.560000e+00	2.000000e+00
0.0023        	4.576000e+01	4.600000e+01	1.870000e+00	2.000000e+00
0.0024        	4.758000e+01	4.800000e+01	1.820000e+00	2.000000e+00
0.0025        	4.927000e+01	4.900000e+01	1.690000e+00	1.000000e+00
0.0026        	5.097000e+01	5.100000e+01	1.700000e+00	2.000000e+00
0.0027        	5.263000e+01	5.300000e+01	1.660000e+00	2.000000e+00
0.0028        	5.430000e+01	5.400000e+01	1.670000e+00	1.000000e+00
0.0029        	5.594000e+01	5.600000e+01	1.640000e+00	2.000000e+00
0.003         	5.761000e+01	5.800000e+01	1.670000e+00	2.000000e+00
0.0031        	5.918000e+01	5.900000e+01	1.570000e+00	1.000000e+00
0.0032        	6.079000e+01	6.100000e+01	1.610000e+00	2.000000e+00
0.0033        	6.242000e+01	6.300000e+01	1.630000e+00	2.000000e+00
0.0034        	6.406000e+01	6.400000e+01	1.640000e+00	1.000000e+00
0.0035        	6.592000e+01	6.600000e+01	1.860000e+00	2.000000e+00
0.0036        	6.748000e+01	6.800000e+01	1.560000e+00	2.000000e+00
0.0037        	6.912000e+01	6.900000e+01	1.640000e+00	1.000000e+00
0.0038        	7.081000e+01	7.100000e+01	1.690000e+00	2.000000e+00
0.0039        	7.243000e+01	7.300000e+01	1.620000e+00	2.000000e+00
0.004         	7.409000e+01	7.400000e+01	1.660000e+00	1.000000e+00
0.0041        	7.573000e+01	7.600000e+01	1.640000e+00	2.000000e+00
0.0042        	7.740000e+01	7.800000e+01	1.670000e+00	2.000000e+00
0.0043        	7.902000e+01	7.900000e+01	1.620000e+00	1.000000e+00
0.0044        	8.068000e+01	8.100000e+01	1.660000e+00	2.000000e+00
0.0045        	8.235000e+01	8.300000e+01	1.670000e+00	2.000000e+00
0.0046        	8.401000e+01	8.400000e+01	1.660000e+00	1.000000e+00
0.0047        	8.569000e+01	8.600000e+01	1.680000e+00	2.000000e+00
0.0048        	8.735000e+01	8.800000e+01	1.660000e+00	2.000000e+00
0.0049        	8.899000e+01	8.900000e+01	1.640000e+00	1.000000e+00
0.005         	9.068000e+01	9.100000e+01	1.690000e+00	2.000000e+00
0.0051        	9.236000e+01	9.300000e+01	1.680000e+00	2.000000e+00
0.0052        	9.402000e+01	9.400000e+01	1.660000e+00	1.000000e+00
0.0053        	9.570000e+01	9.600000e+01	1.680000e+00	2.000000e+00
0.0054        	9.737000e+01	9.800000e+01	1.670000e+00	2.000000e+00
0.0055        	9.905000e+01	9.900000e+01	1.680000e+00	1.000000e+00
0.0056        	1.007200e+02	1.010000e+02	1.670000e+00	2.000000e+00
0.0057        	1.023900e+02	1.030000e+02	1.670000e+00	2.000000e+00
0.0058        	1.040500e+02	1.040000e+02	1.660000e+00	1.000000e+00
0.0059        	1.056900e+02	1.060000e+02	1.640000e+00	2.000000e+00
0.006         	1.073500e+02	1.080000e+02	1.660000e+00	2.000000e+00
0.0061        	1.089900e+02	1.090000e+02	1.640000e+00	1.000000e+00
